Gmt time,Open,High,Low,Close,Volume
14.09.2022 00:00:00.000,1.15018,1.15893,1.14797,1.15439,196633.2188
15.09.2022 00:00:00.000,1.15439,1.15473,1.14505,1.14513,145669.3594
16.09.2022 00:00:00.000,1.14513,1.14799,1.13500,1.14187,145149.4063
17.09.2022 00:00:00.000,1.14187,1.14187,1.14187,1.14187,0
18.09.2022 00:00:00.000,1.14137,1.14406,1.14108,1.14336,7172.4199
19.09.2022 00:00:00.000,1.14336,1.14451,1.13549,1.14442,90120.2422
20.09.2022 00:00:00.000,1.14443,1.14605,1.13570,1.13801,151421.7656
21.09.2022 00:00:00.000,1.13802,1.13842,1.12350,1.12565,194062.5781
22.09.2022 00:00:00.000,1.12566,1.13638,1.12113,1.12621,225713.9531
23.09.2022 00:00:00.000,1.12619,1.12739,1.08387,1.08474,214771.2188
24.09.2022 00:00:00.000,1.08474,1.08474,1.08474,1.08474,0
25.09.2022 00:00:00.000,1.07935,1.08459,1.07795,1.07924,20017.7793
26.09.2022 00:00:00.000,1.07923,1.09298,1.03261,1.07658,382982.8125
27.09.2022 00:00:00.000,1.07655,1.08374,1.06583,1.07251,216782.2969
28.09.2022 00:00:00.000,1.07250,1.09156,1.05389,1.08303,341094.9688
29.09.2022 00:00:00.000,1.08303,1.12038,1.07615,1.11707,285608.8125
30.09.2022 00:00:00.000,1.11706,1.12335,1.10246,1.11538,253468.25
01.10.2022 00:00:00.000,1.11538,1.11538,1.11538,1.11538,0
02.10.2022 00:00:00.000,1.11504,1.11943,1.11271,1.11342,21819.4199
03.10.2022 00:00:00.000,1.11345,1.13412,1.10851,1.13374,255367.0625
04.10.2022 00:00:00.000,1.13373,1.14894,1.12800,1.14497,252400
05.10.2022 00:00:00.000,1.14498,1.14951,1.12264,1.13554,315720.4063
06.10.2022 00:00:00.000,1.13556,1.13833,1.11124,1.11605,349783.3125
07.10.2022 00:00:00.000,1.11603,1.12249,1.10550,1.10934,278079.8438
08.10.2022 00:00:00.000,1.10934,1.10934,1.10934,1.10934,0
09.10.2022 00:00:00.000,1.10891,1.10930,1.10609,1.10719,39503.4688
10.10.2022 00:00:00.000,1.10721,1.11106,1.10191,1.10783,299064.25
11.10.2022 00:00:00.000,1.10788,1.11794,1.09520,1.09632,286439.75
12.10.2022 00:00:00.000,1.09637,1.11336,1.09227,1.11001,235494.4219
13.10.2022 00:00:00.000,1.11000,1.13800,1.10565,1.13009,260288.4844
14.10.2022 00:00:00.000,1.13007,1.13661,1.11511,1.11780,404516.0625
15.10.2022 00:00:00.000,1.11780,1.11780,1.11780,1.11780,0
